detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp
879500	23208	54319	40	11,05	0	2022-07-13 10:45:03.827
879501	23208	54319	41	11,08	0	2022-07-13 10:45:08.827
879502	23208	54319	41	11,09	0	2022-07-13 10:45:13.860
879503	23208	54319	41	11,13	0	2022-07-13 10:45:18.890
879504	23208	54319	41	11,08	0	2022-07-13 10:45:23.937
879505	23208	54319	41	11,03	0	2022-07-13 10:45:28.953
879506	23208	54319	41	9,1	0	2022-07-13 10:45:33.953
879507	23208	54319	41	5,78	1	2022-07-13 10:45:38.983
879508	23208	54319	41	5,21	1	2022-07-13 10:45:44.013
879509	23208	54319	41	5,26	1	2022-07-13 10:45:49.047
879510	23208	54319	41	4,66	1	2022-07-13 10:45:59.970
879511	23208	54319	41	4,86	1	2022-07-13 10:46:04.110
879512	23208	54319	41	4,68	1	2022-07-13 10:46:06.517
879513	23208	54319	41	5,79	1	2022-07-13 10:46:09.123
879514	23208	54319	41	5,76	1	2022-07-13 10:46:14.157
879515	23208	54319	41	5,69	1	2022-07-13 10:46:19.187
879516	23208	54319	41	5,67	1	2022-07-13 10:46:24.220
879517	23208	54319	41	5,69	1	2022-07-13 10:46:29.233
879518	23208	54319	41	5,7	1	2022-07-13 10:46:34.250
879519	23208	54319	41	5,74	1	2022-07-13 10:46:39.280
879520	23208	54319	41	5,76	1	2022-07-13 10:46:44.297
879521	23208	54319	41	5,74	1	2022-07-13 10:46:49.330
879522	23208	54319	41	5,76	1	2022-07-13 10:46:54.360
879523	23208	54319	41	5,69	1	2022-07-13 10:46:59.377
879524	23208	54319	41	5,69	0	2022-07-13 10:47:04.407
879525	23208	54319	42	5,69	0	2022-07-13 10:47:09.440
879526	23208	54319	41	5,7	0	2022-07-13 10:47:14.453
879527	23208	54319	40	5,71	0	2022-07-13 10:47:19.487
879528	23208	54319	41	5,68	0	2022-07-13 10:47:24.517
879529	23208	54319	41	5,7	0	2022-07-13 10:47:29.533
879530	23208	54319	41	5,71	1	2022-07-13 10:47:34.563
